date	Lucky Charms	Frosted Flakes	Count Chocula	Honey Nut Cheerios	Capn Crunch	Wheaties	Reeses_Puffs	Rice Krispies	Corn Flakes	Raisin Bran	Cookie Crisp	Apple Jacks	Grape-Nuts	Trix	Honeycomb
20140302	43.75	25	12.5	12.5	6.25	18.75	0	106.25	87.5	25	12.5	6.25	0	18.75	31.25
20140309	66.66666667	20	6.666666667	13.33333333	6.666666667	13.33333333	0	120	100	20	13.33333333	6.666666667	0	20	33.33333333
20140316	80	20	6.666666667	13.33333333	0	13.33333333	0	133.3333333	106.6666667	26.66666667	6.666666667	6.666666667	0	13.33333333	26.66666667
20140323	26.66666667	20	6.666666667	13.33333333	6.666666667	13.33333333	0	120	106.6666667	26.66666667	13.33333333	6.666666667	0	13.33333333	33.33333333
20140330	35.71428571	28.57142857	14.28571429	14.28571429	7.142857143	14.28571429	0	135.7142857	107.1428571	21.42857143	14.28571429	7.142857143	0	21.42857143	35.71428571
20140406	33.33333333	26.66666667	13.33333333	13.33333333	6.666666667	13.33333333	0	133.3333333	100	20	13.33333333	6.666666667	0	13.33333333	26.66666667
20140413	35.71428571	21.42857143	7.142857143	14.28571429	7.142857143	14.28571429	0	221.4285714	142.8571429	21.42857143	14.28571429	7.142857143	0	21.42857143	35.71428571
20140420	21.42857143	21.42857143	7.142857143	14.28571429	0	14.28571429	0	142.8571429	135.7142857	21.42857143	14.28571429	7.142857143	0	21.42857143	35.71428571
20140427	26.66666667	20	6.666666667	13.33333333	0	13.33333333	0	120	100	26.66666667	13.33333333	6.666666667	0	20	40
20140504	33.33333333	25	8.333333333	16.66666667	0	25	0	166.6666667	125	25	16.66666667	8.333333333	0	16.66666667	50
20140511	28.57142857	28.57142857	7.142857143	14.28571429	0	21.42857143	0	114.2857143	107.1428571	21.42857143	14.28571429	7.142857143	0	14.28571429	35.71428571
20140518	25	25	8.333333333	16.66666667	0	16.66666667	0	141.6666667	116.6666667	25	16.66666667	8.333333333	0	16.66666667	41.66666667
20140525	38.46153846	23.07692308	7.692307692	15.38461538	0	15.38461538	0	115.3846154	115.3846154	23.07692308	15.38461538	7.692307692	0	15.38461538	38.46153846
20140601	30.76923077	23.07692308	7.692307692	15.38461538	0	15.38461538	0	123.0769231	107.6923077	23.07692308	15.38461538	7.692307692	0	15.38461538	38.46153846
20140608	30.76923077	23.07692308	7.692307692	15.38461538	0	15.38461538	0	123.0769231	107.6923077	23.07692308	23.07692308	7.692307692	0	15.38461538	38.46153846
20140615	28.57142857	14.28571429	7.142857143	14.28571429	0	21.42857143	0	114.2857143	92.85714286	21.42857143	21.42857143	7.142857143	0	14.28571429	28.57142857
20140622	25	18.75	6.25	6.25	0	12.5	0	106.25	81.25	12.5	12.5	6.25	0	12.5	31.25
